recipe_title,url,record_health,vote_count,rating,description,cuisine,course,diet,prep_time,cook_time,ingredients,instructions,author,tags,category
Butternut Squash Gratin Recipe,https://www.archanaskitchen.com/butternut-squash-gratin,good,312,4.974358974359,"Butternut Squash which is also known as Kaddu, halwa kaddu, kashiphal, mitha kaddu, petha in various regional languages in India has high medicinal properties and is a rich source of nutrients. Butternut squash, comes from the family of gourds and melons. Once called “the apple of God,” it has a sweet, nutty taste and is almost indistinguishable from pumpkin. Gratin is a French baked dish where in an ingredient is topped with a browned crust, often using breadcrumbs, grated cheese, egg and/or butter. Butternut Squash Gratin is a combination of squash, cheese, some herbs which are then topped with breadcrumbs and baked to make a crispy brown cover. It is usually served as a side or in breakfast. The dish is not just delicious but is an absolute healthy choice for the weight watchers. Serve the Butternut Squash Gratin Recipe along with   and a   to go along with.  Other gratin recipes that you can try are:",French,Lunch,Vegetarian,10 M,45 M,Butternut squash|Extra Virgin Olive Oil|Whole Wheat Bread crumbs|Coriander (Dhania) Leaves|Cheddar cheese|Gouda cheese|Black pepper powder|Rosemary|Salt,"To begin the preparation of Butternut Squash Gratin, cut the squash into pieces, mix with plenty of salt and let it sit in the| for around 15-20 mins.|Rinse nicely and pat dry the squash and set aside.|Preheat the| at 200 degree C. Meanwhile line a baking tray with parchment paper and place the squash in it.|Add 2 tablespoons olive oil and a pinch of salt, toss them gently and roast in the oven for 20 mins.|Once the squash is tender, remove from the oven and collect it in a bowl. Mash them well with a spoon or a fork.|Transfer the mashed squash in a | or a baking dish and spread evenly.|Add chopped coriander all over with some salt and freshly crushed black pepper.|Now add the cheese generously and cover it with plenty of bread crumbs all over.|Sprinkle some dry rosemary and bake until the crumbs are nicely browned. This might take 20-25 mins.|Remove the skillet from the oven and let the gratin cool slightly before serving. |Serve the Butternut Squash Gratin Recipe along with | and a | to go along with.",Shaheen Ali,Party Food Recipes|Healthy Recipes|Breakfast Recipe Ideas|One Dish Recipes|French Cuisine Recipes|Gratin Recipes|Squash Recipes,Continental Food Recipes
Spinach And Corn Au Gratin Recipe With Cheesy Dip,https://www.archanaskitchen.com/spinach-and-corn-au-gratin-recipe-with-cheesy-dip,good,1340,4.8492537313433,"Weeknight dinners can't get simpler with this easy and special vegetarian recipe which is sure to delight your taste-buds. The Spinach And Corn Au Gratin is a classic French dish - Au gratin refers to a dish which is baked with a topping of cheese that attains a crusty look.  In this recipe, the The Spinach And Corn Au Gratin is made creamy and packed with flavors coming from the   and when combined with the fresh spinach and corn, makes it delectable to the palate. And what more, you will have dinner on your plate in less than 30 minutes. Serve the Spinach and Corn Au Gratin With Cheesy Garlic Mayo along with a   for a light delicious dinner.",French,One Pot Dish,Vegetarian,20 M,30 M,Spinach Leaves (Palak)|Sweet corn|Corn flour|Milk|Dried oregano|Red Chilli flakes|Cheddar cheese|Salt|Extra Virgin Olive Oil,"To begin making the Spinach And Corn Au Gratin Recipe With Cheesy Garlic Mayo, first get all the ingredients prepped and ready. Keeping things ready for cooking, is an important step in understanding the process and what goes into cooking every dish.|Preheat the oven to 180 C and keep the broiler (top grill) of the oven on.|To begin, in a saucepan, add the milk and dissolve the corn flour into it. Stir in the oregano, salt and chili flakes. Place the pan on medium heat and keep stirring the sauce until the sauce thickens and gets a creamy consistency. |At this stage add the | and stir well. Check the salt and seasonings and turn off the heat. The creamy base for the Spinach Au Gratin is ready. Keep this aside.|Heat a teaspoon of oil in the frying pan; add the chopped spinach and saute it for about a minute until it wilts down. You don't have to cook it too much. Ensure the green color of the spinach is intact. Stir in the steamed corn to the spinach as well the the creamy Au gratin base sauce we made above.|Pour the Spinach And Corn Au Gratin into a baking dish. Sprinkle and spread the cheddar cheese on the top and place it into the preheated oven.|Broil/ bake the Spinach and Corn Au Gratin for about 10 to 12 minutes until the cheese melts and has turned light golden brown.|Once done, remove the Au Gratin from the oven and serve.|Serve the Spinach and Corn Au gratin With Cheesy Dip along with a | for a light delicious dinner.",Archana's Kitchen,Spinach Recipes (Palak/Keerai)|Sweet Corn Recipes|Gratin Recipes|Delmonte Mayo Recipes|Mayonnaise Recipes,Continental Food Recipes
Mini Potato Cheesy Au Gratin Recipe,https://www.archanaskitchen.com/mini-potato-cheesy-au-gratin-recipe,good,1164,4.963058419244,"Gratin is a French Cuisine usually prepared in a shallow oven-safe container and served as such in the baked container itself. The gratin dish is baked or cooked till the browned crust is formed on the top and served warmly. Mini Potato Cheesy Au gratin is prepared using grated potatoes in a buttered milk topped with  . Prepare this cheesy gooey potato gratin for your loved ones and I am sure they will love you back too. Serve Mini Potato Cheesy Au Gratin Recipe with   as a perfect meal for your day. If you like this recipe, try other similar recipes like-",French,Lunch,Vegetarian,10 M,60 M,Potato (Aloo)|Nutralite Garlic & Oregano Spread|Heavy whipping cream|Milk|All Purpose Flour (Maida)|Garlic|Salt|Black pepper powder|Cheddar cheese,"To prepare Mini Potato Cheesy Au gratin recipe, prep up with all the ingredients. In a bowl, whisk cream, Cheesy Garlic Mayo, Nutralite Classic Spread, milk, garlic, and salt. Combine them together.|Add freshly grounded pepper to the mixture.|In a |, place 1/3 of the potatoes in the bottom of the baking dish. Pour 1/3rd of the cream mixture on top of the potatoes.|Arrange the second layer of cubed potatoes on top of the cream mixture. Pour the remaining cream mixture on top of the second layer of potatoes.|Now, arrange the remaining potatoes as the final layer.|Preheat | at 400F temperature.|Cover the baking container with aluminum foil and bake for about 30 minutes. Remove the foil and bake for about 20-25 minutes until the potatoes turn brownish.|Add grated cheddar cheese on top and bake for about 2-3 minutes.|Serve Mini Potato Cheesy Au Gratin Recipe with | as a perfect meal for your day.",Karthika Gopalakrishnan,Party Food Recipes|Vegetarian Recipes|Aloo Recipes (Potato & Baby Potato Recipes)|Cheese Recipes|French Cuisine Recipes|Gratin Recipes,Continental Food Recipes
Sweet Potato Gratin With Fresh Herbs Recipe,https://www.archanaskitchen.com/sweet-potato-gratin-with-fresh-herbs-recipe,good,273,4.9230769230769,Sweet Potato Gratin is a rich baked casserole made using Sweet Potato slices soaked in cream and topped with cheese. Fresh herbs are sprinkled in between the sweet potato layers to add freshness and flavor to the bake. Slice the sweet potatoes uniformly so that they bake evenly.This creamy Sweet Potato gratin makes a great side dish for a potluck or a comforting meal on its own. Serve the  Here are few more sweet potato recipes which you can try : ,French,Dinner,Vegetarian,11 M,60 M,Sweet Potatoes|Fresh cream|Milk|Garlic|Nutmeg|Parsley leaves|Fresh Thyme leaves|Dried oregano|Basil leaves|Whole Black Peppercorns|Salt|Cheese,"To begin making the Sweet Potato gratin with fresh herbs, first pre-heat the oven to 160 deg Celsius|Rub a 7-inch | with the garlic clove (cut side) and grease the dish with butter.|Place a layer of the sweet potato slices. Dab each slice with a little butter. Sprinkle salt, pepper and some herbs.|Whisk the cream, milk and nutmeg in a small jar.|Pour some of this cream mixture over the sweet potato slices.|Place more slices on top of it, dab with butter, sprinkle salt pepper and herbs and pour some more cream mixture.|Continue layering, ending with the cream mixture.|Sprinkle the grated cheese on top and bake for about 40-50 minutes or till the sweet potato sliced are soft.|Serve the Sweet Potato Gratin for your weekend dinner with some | or | for your special night.",Madhuli Ajay,Vegetarian Recipes|Sweet Potato Recipes|Gratin Recipes,Continental Food Recipes
Couscous Eggplant And Tomato Gratin Recipe,https://www.archanaskitchen.com/couscous-eggplant-and-tomato-gratin-recipe,good,326,4.0184049079755,"Couscous Eggplant and Tomato Gratin is a baked casserole in which tomato sauce and grilled eggplants are layered on a bed of couscous and topped with Feta cheese and bread crumbs. This recipe uses Harissa paste/sauce to spice up the dish. You can skip it if you do not have it handy; just adjust the seasoning accordingly. Use simple Homemade tomato sauce (not ketchup), Passata or blanched and crushed tomatoes for the best results. Serve Couscous Eggplant and Tomato Gratin for a quick, comforting weeknight meal or for your next potluck dinner. You can also try similar recipes like  ",French,Dinner,Vegetarian,10 M,30 M,Couscous|Japanese Eggplant|Extra Virgin Olive Oil|Feta Cheese|Whole Wheat Bread crumbs|Mint Leaves (Pudina)|Salt,"To begin making the Couscous Eggplant and Tomato Gratin, heat a |. Drizzle the oil and grill the eggplant slices till they are lightly browned on both the sides. Do not overcook the eggplant slices.|Take off the heat and keep aside till required.|Pre-heat an | to 180 degree Celsius. Cook the couscous as per the instructions given on the packet.|Grease a |and spread the couscous on the bottom of the dish.|Mix the tomato sauce with the harissa paste and spread on the couscous layer. (Season it with salt if using passata).|Place the grilled eggplant slices on top such that they cover the sauce. Sprinkle bread crumbs and feta cheese over the eggplants.|Bake in the oven for 12-15 minutes till the top browns and the cheese just starts melting. Garnish with mint leaves and serve immediately.|Serve Couscous Eggplant and Tomato Gratin for a quick, comforting weeknight meal or for your next potluck dinner.",Madhuli Ajay,Party Food Recipes|Tomato Recipes|Brinjal Recipes (Eggplant / Baingan)|Gratin Recipes,Continental Food Recipes
Ultimate Potato Gratin Dauphinois,https://www.archanaskitchen.com/gratin-dauphinois,good,496,4.945564516129,"The name gratin dauphinois refers to the   region of France, where this method of preparing potatoes is a specialty. Thinly sliced and layered potatoes and cream cooked in a buttered dish with finely minced garlic and some coarsely pounded black pepper. This Potato Gratin Dauphinois would be perfect for a buffet supper or potluck and surely would be the first thing to disappear. The dish has very few ingredients but it is oozing with flavor. Serve the Potato Gratin Dauphinois along with a   and a   for a party or a weeknight dinner. If you like French Cuisine recipes, you must try a few of the recipes below",French,Dinner,Vegetarian,20 M,90 M,Potatoes (Aloo)|Milk|Fresh cream|Garlic|Fresh Thyme leaves|Whole Black Peppercorns|Parmesan cheese,"To begin making the Ultimate Potato Gratin Dauphinois, preheat the oven to 200C|Peel the potatoes. Cut crosswise into 1/16-inch thick slices and transfer to a heavy bottomed sauce pan. Add the milk, cream, garlic, salt, pepper and nutmeg. Bring the mixture to a boil.|Butter a gratin dish or a shallow baking dish. Pour the potato mixture into the buttered dish, distributing the potatoes evenly. Sprinkle the parmesan cheese evenly on the top.|Bake until the Potato Gratin Dauphinois are tender and the top is golden brown. Takes about 35-45 minutes. While baking you will see the milk and cream boiling; towards the end of baking the mixture would have absorbed the milk with just a little bit of cream left. Voila!|Turn off oven and let the Potato Gratin Dauphinois sit in the warm oven for about 15 minutes.|Serve the Potato Gratin Dauphinois along with a | and a | for a party or a weeknight dinner.",Archana Doshi,Party Food Recipes|Aloo Recipes (Potato & Baby Potato Recipes)|French Cuisine Recipes|Gratin Recipes,Continental Food Recipes
Ratatouille with Grilled Cottage Cheese Steak,https://www.archanaskitchen.com/ratatouille-with-grilled-cottage-cheese-steak,good,2296,4.8776132404181,"The Ratatouille with Grilled Cottage Cheese steak was one such recipe that makes a wholesome weeknight dinner. The ratatouille is packed with goodness of fresh vegetables and when combined with the cottage cheese provides the protein that is needed in the diet.  This recipe also makes a great dish that you can make for parties. Make the Ratatouille ahead of time and grilled the cottage cheese fresh and serve it hot when you are ready to serve. To Serve, spoon some Ratatouille on a serving platter and place the Grilled Cottage Cheese Steak over. This dish makes a wholesome weeknight dinner along with   or even as a recipe for parties when you have friends or family over. If you are looking for more French Recipe here are some :   ",French,Main Course,Vegetarian,15 M,40 M,Extra Virgin Olive Oil|Garlic|Onion|Brinjal (Baingan / Eggplant)|Red Bell pepper (Capsicum)|Green zucchini|Tomatoes|Basil leaves|Parsley leaves|Whole Wheat Bread crumbs|Rosemary,"Heat the 1/4 cup of olive oil in a heavy bottomed sauce pan; add in the grated garlic and sauté for a couple of seconds. Then add in the onions, and stir fry on medium heat until the onions soften a little and change colour as well. About 5 minutes.|Next add in the eggplant and sprinkle some salt. Cook until the eggplants are partially cooked. Next add in the bell peppers, zucchini and continue to cook for another couple of minutes.|Finally add in the semi pureed tomatoes and the chopped herbs and any more additional salt to taste. Stir well to combine all the ingredients well.|Cover the pan and simmer the Ratatouille for about 10 minutes until all the ingredients and vegetables have come together and the vegetables have been cooked thoroughly.|The Ratatouille is now ready to be served along with your favourite bread, pasta or even a grilled cottage steak.|Combine breadcrumbs, the seasoning and salt in a shallow dish. Cut cottage cheese or tofu lengthwise into 4 strips or slices and brush it with little oil. Coat the cheese in the seasoned breadcrumb mixture|Heat a heavy iron skillet on medium heat and add a couple of teaspoons of oil on it.|Add the cottage cheese or tofu slices and cook until browned and crisp on one both sides. Proceed the same way with the remaining tofu slices and keep them aside.|To Serve, spoon some Ratatouille on a serving platter and place the Grilled Cottage Cheese Steak over. This dish makes a wholesome weeknight dinner along with |or even as a recipe for parties when you have friends or family over.",Archana Doshi,Party Food Recipes|Paneer Recipes|Brinjal Recipes (Eggplant / Baingan)|Zucchini Recipes,Continental Food Recipes
Chocolate Ganache Recipe (Perfect Frosting For Cakes and Cup Cakes),https://www.archanaskitchen.com/chocolate-ganache-a-perfect-icing-for-cakes-and-cup-cakes,good,4885,4.8845445240532,"Chocolate Ganache is a delicious recipe for a frosting that can go over cakes and cup cakes. Its creamy and made from high quality dark chocolate blended with fresh heavy cream. The sauce is thick and solidifies very beautifully over cakes making it a perfect icing and tastes so much better than the butter cream icings. Ganache is a French term referring to a smooth mixture of chopped chocolate and heavy cream. The origins of ganache are debatable but it is believed to have been invented around 1850. Some say it originated in Switzerland where it was used as a base for truffles. Others say it was invented in Paris at the Patisserie Siravdin. Dark, milk, or white chocolate can be used to make ganache and different flavorings can be added such as liqueurs and extracts. Butter, oil, or corn syrup can also be added when a dark shiny glaze is desired. Serve this Chocolate Ganache as part of a sundae with a scoop of icecream of your choice, some nuts like almonds and cashews and some  Here are a few dessert recipes you can make with ganache",French,Dessert,Vegetarian,10 M,15 M,Fresh cream|Dark chocolate,"To begin making the Chocolate Ganache Recipe, first place the cream in a sauce pan over medium heat and bring to boil.|Remove from heat and add the chopped dark chocolate into the cream.|Bring the saucepan, back to the heat and keep stirring the chocolate and the cream on low flame until the chocolate melts and until the mixture is glossy and smooth.|Once you have a smooth chocolate and cream mixture, set the ganache aside to cool completely. |Spread the Chocolate Ganache over cooled cakes or between layers of a cake or roll into balls to make truffles.|To make it as a dessert sauce - thin down the ganache with some hot milk |1 tablespoon ganache: 1 tablespoon hot milk|Combine both and mix well. |Serve this Chocolate Ganache as part of a sundae with a scoop of icecream of your choice, some nuts like almonds and cashews and some ",Archana Doshi,Chocolate Recipes,Basic & Advanced Cooking Techniques
Apple Cinnamon French Toast Recipe,https://www.archanaskitchen.com/apple-cinnamon-french-toast-recipe,good,704,4.9105113636364,"Ever had flavors of an apple pie in a french toast done in a jiffy? Apple Cinnamon french toast is the answer. This delectable recipe has cinnamon flavoured sweet and savoury softened chunks of apple served as a topping on the golden crunchy french toast. Bread, egg, milk and fruit, these ingredients are synonymous to an essential healthy breakfast and here is a recipe packed with the goodness of all of these. The Apple Cinnamon French Toast is an easy to make recipe from the basic pantry ingredients is an instant hit among kids too. Serve the   with a variety of toppings like honey, fresh cream, nuts and chopped strawberries for breakfast along with  . Other recipes that you can try are:",French,World Breakfast,Eggetarian,15 M,15 M,Whole Eggs|Milk|Fresh cream|Brown Sugar (Demerara Sugar)|Cinnamon Powder (Dalchini)|Butter (unsalted)|Apple|Cinnamon Stick (Dalchini)|Brown Sugar (Demerara Sugar)|Butter (unsalted),"To begin making Apple Cinnamon Apple Toast, whisk together all the ingredients mentioned under French Toast except bread and butter in a large mixing bowl. The mixture should be smooth and silky without any lumps in it.|Dip each thick slice of bread in the egg mixture. Allow both sides of the slice to soak the mixture and be in it for 10 minutes. Once the slices have absorbed the liquid sufficiently, they are ready to be cooked.|In the meantime, begin making the apple cinnamon topping for the French Toast. For this first heat a pan on medium heat and add one tablespoon of unsalted butter.|Once the butter is warm, add the cinnamon stick and brown sugar. Stir continuously till the sugar melts completely and not to let it burn. At this stage, add sliced apple and saute until they are softened. The apple cinnamon mixture is now ready for the topping.|Place a pan on medium heat and melt some butter in it. Once the butter is warm, place the bread slices in the pan. Cook each side for 3 minutes on medium heat,until it gets golden and crispy.|Place the French Toast in a serving plate, top it with the apple cinnamon mixture.|Serve the Apple Cinnamon French toast with a variety of toppings like honey, fresh cream, nuts and chopped strawberries for breakfast along with |.",Madhuri Aggarwal,Apple Recipes|Cinnamon Recipes|After School Snack Recipes,Toast Recipes
White Sauce Pasta Recipe-Alfredo/ Bechamel Sauce,https://www.archanaskitchen.com/bechamel-sauce-classic-white-sauce-for-pastas-and-gratins,good,1249,4.7405924739792,The   also known as the Bechamel sauce or Alfredo Sauce is a must to have in the refrigerator so you can whip up a great main course quickly. My personal favorite begins with making Gratin's. Gratins are French dishes that have a vegetables  baked along with bechamel and cheese. This is a simple recipe. You can modify this by adding herbs of your choice. I often keep changing the flours I use to make the sauce more healthier and minimise the flour content A few usage ideas:,French,,Vegetarian,10 M,20 M,Whole Wheat Flour|Milk|Britannia Cream Cheese|Salt|Whole Black Pepper Corns|Nutmeg,"To begin making the White Sauce Pasta Recipe-Bechamel Sauce, whisk together the flours, salt, pepper, nutmeg and the milk until all the flour is well dissolved into the milk. |Pour the white sauce mixture into a saucepan and begin cooking the Bechamel sauce until it thickens.|As the White Sauce pasta mixture-Bechamel Sauce begins to thicken, add in the cream cheese and continue to stir well until there are no lumps and the mixture is cooked through completely.|Once the White Sauce Pasta Recipe-Bechamel Sauce is cooked, you can use it on making |, | or even make a Chilli Cheese Toast. ",Archana Doshi,Italian Recipes|Pasta Sauce Recipes,Basic & Advanced Cooking Techniques
Chicken And Basil Quiche Recipe ,https://www.archanaskitchen.com/chicken-and-basil-quiche-recipe,good,904,4.8827433628319," is a comforting dish that you can try at your home when you are craving to eat .  Quiche are originated from France where they are made from a pie pastry dough that is rolled on to a tart pan and blind baked. Once they are blind baked they are then filled with a savory filling , and topped with a savoury egg custard. In this recipe we have paired chicken with fresh basil leaves that goes really well together. The quiche is great to have for a morning breakfast. Serve the   along with a freshly tossed  and a  by the side to enjoy it as a complete meal.  Here are a few more savoury tart recipes that you can also try",French,World Breakfast,High Protein Non Vegetarian,10 M,35 M,All Purpose Flour (Maida)|Butter (unsalted)|Icing Sugar|Whole Egg|Salt|Onion|Garlic|Chicken breasts|Basil leaves|Dried oregano|Dried Thyme Leaves|Red Chilli flakes|Salt|Whole Egg|Milk|Salt and Pepper,"To begin making the Chicken And Basil Quiche Recipe,|To begin making the Chilli Lemon Paneer Tart Recipe, it is best to make the dough for the tart the previous day and allow it to rest in the refrigerator overnight.|To make the tart shell, cut butter into small cubes and freeze them for about 2 hours or until solid.|In a large mixing bowl, combine the flour, icing sugar, salt and butter and rub with your fingers, until the butter is fully combined and resembles a sand like texture.|Add one whole egg into this sand like mixture and bring the dough together. The dough will be sticky.|Pack this dough in a cling wrap and  allow it to rest in the refrigerator overnight.|Keep a 6 inch loose bottom pie tin ready.|Dust some flour on the counter and begin rolling the dough, you need to roll out a thick sheet of 1 cm thickness.|Carefully lift the sheet of dough and place it over the pie tin, press the dough against the base and the walls. Let the excess dough be there as is, place this pie tin in the freezer for 30 minutes.|Remove the pie tin from the freezer, cut off the excess from the edges.  |Once the edges are cut off using the fork, dock (prick) the pastry so that it doesn't puff up when it is being baked. |Bake in a preheated oven at 180 degree celsius for 20-25 minutes.|Once you see a nice golden colour it indicates the shell is well baked. Remove from the oven and allow to cool.|Heat a sauce pan with oil on medium heat, add onion and garlic and saute for 3-4 minutes. |Now add the chicken and cook it until its tender. This will take a good 12-15 minutes.|Add basil leaves, dried oregano, thyme and red chilli flaxes and salt to taste.|Cook the mixture for at least 5 more minutes and keep it aside to cool. |Beat egg and milk in a bowl till it combines, sprinkle salt and pepper. Set aside. |Place the filling in the cooled tart, pour the custard over it, cover it with aluminium foil and bake again, for 20 minutes at 160 degree celsius. |Serve the Chicken And Basil Quiche along with a freshly tossed| and a |by the side to enjoy it as a complete meal.",Archana's Kitchen,Breakfast Recipe Ideas|Tart and Pie Recipes|Basil Recipes|Continental Recipes|Oven Baked Recipe,Continental Food Recipes
"Bacon, Caramelised Onions And Cheese Crepes Recipe ",https://www.archanaskitchen.com/bacon-caramelised-onions-and-cheese-crepes-recipe,good,1014,4.9516765285996," is a classic  , with a savoury filling. This thin paper like smooth crepe is filled with crispy-crunchy bacon, soft and sweet caramelised onions and stringy soft cheese. It is a perfect dish to serve for your weekend breakfast or brunch. Crepe is a French word for pancakes. Crepes are very thin pancakes that can be folded easily. It has a soft melt in mouth texture due to the use of eggs and milk.  Serve crepes as a hearty sunday breakfast or as heavy evening snack on a holiday.  Serve these  along with some cut fresh fruits or   or   for a complete breakfast. If you like this recipe Bacon, Caramelised Onions And Cheese Crepes, here are a few more crepes recipe you can try for your weekend breakfast:",French,World Breakfast,Non Vegeterian,10 M,12 M,All Purpose Flour (Maida)|Confectioners sugar|Salt|Sunflower Oil|Whole Egg|Milk|Bacon strips|Onion|Sugar|Cheese|Salt|Black pepper powder|Mixed Herbs (Dried),"To begin making the Bacon, Caramelised Onions And Cheese Crepes Recipe, first thaw the bacon strips if using frozen ones.|To make the crepes, in a large mixing bowl, combine all purpose flour, powdered sugar and salt. Combine everything well. |Next add in the oil, egg and milk. Whisk well to ensure there are no lumps and you have a nice smooth batter. (The batter can be as thin as a dosa batter)|Heat a skillet, on high heat, until the skillet begins to smoke, turn the heat down. Grease the pan with butter and wipe it with a tissue paper.|Next, pour a ladle full of batter on the skillet, lift it with the handle and swirl it around, in a way that the batter spreads on the entire skillet.|Cook on low heat for 2-3 minutes, you will see the that the crepe is almost cooked leaving no wet patches of the batter,  flip on the other side for a minute and take it off the skillet and place it on a plate.|Ensure that your crepes get absolutely no colour or maybe just a tad bit of brown.|The next step is to make the filling for the crepes. |For Bacon and Caramelised Onions Cheese filling, in a pan, add butter and heat on medium flame.|Add the sliced onions, sugar and saute till the onions are soft and have turned into a nice golden brown colour.|Turn off the flame, add salt, pepper, mixed herbs and mix.|Heat the same pan on medium heat and add the bits of bacon, saute for about 4-6 minutes or until you get crisp bits of bacon.|Add this to the onion mixture and mix well.|The final step is to assemble the Bacon, Caramelised Onions And Cheese Crepes.|Keep the crepe flat on the plate, and place the bacon and onion filling on one quarter of the crepe.|Sprinkle cheese generously on the filling and fold it into a triangle. To get a triangle shape, first fold into a semi-circle, then fold the semi-circle into half again.|Microwave this filled crepe for one minute on high heat to melt the cheese.|Serve these Bacon and Caramelised Onions Cheese Crepes Recipe along with some cut fresh fruits or | or | for a complete breakfast.",Archana's Kitchen,Breakfast Recipe Ideas|Crepe Recipes|Onion Recipes|Cheese Recipes|French Cuisine Recipes|Brunch Recipes|Bacon Recipes,Crepe Recipes
Zucchini Oatmeal Omelette Recipe,https://www.archanaskitchen.com/zucchini-oatmeal-omelette-recipe,good,561,4.873440285205,"Zucchini Oatmeal Omelette Recipe is an interesting twist to omelette recipe. Omelettes are easily the most preferred breakfast dishes on a busy morning. If you have eggs readily available, just thrown in a few more ingredients and a delicious breakfast gets ready in no time. Here, we've have made the normal omelette a little more nutritious by adding grated zucchini. Zucchini is a wonder vegetable, containing highest amount of nutrients, adding fewer calories. It makes you feel fuller and is beneficial for weight loss. Serve the Zucchini Oatmeal Omelette Recipe along with a glass of freshly made   or   and with a slice of bread toast for breakfast on a rushed morning. If you like this recipe, here are more similar recipes for you",French,World Breakfast,Eggetarian,10 M,15 M,Whole Eggs|Green zucchini|Onion|Coriander (Dhania) Leaves|Green Chilli|Instant Oats (Oatmeal)|Black pepper powder|Salt|Sunflower Oil,"To begin making Zucchini Oatmeal Omelette Recipe, grate the zucchini, transfer to a mixing bowl, and add a little salt and mix. Let it stand for a few minutes so it releases most of water in zucchini.|Squeeze all the water out from the zucchini and keep aside.|Now, take a bowl, whisk in the eggs till they are light and fluffy.|Add the chopped onion, zucchini, green chilli, oats flour, salt and pepper and mix well to get a fluffy omelette mixture.|Now, heat the skillet on medium flame, brush a little oil over the skillet.|Take a small laddle full of the egg mixture and pour it over the skillet to form small 3 inch diameter sized disc.|Pour a little oil on the sides and let it cook for 2 minutes.|Flip over, let the other side cook for another 2 minutes.|Once done, remove it in a plate and proceed to prepare the similar mini omelettes from the remaining egg mixture.|Serve the Zucchini Oatmeal Omelette Recipe along with a glass of freshly made | or | and with a slice of bread toast.",Nithya Anantham,Breakfast Recipe Ideas|Oats Recipes (Oatmeal)|Zucchini Recipes|Omelette (Frittata) Recipe,Omelette Recipes
Milk Braid Rolls Recipe,https://www.archanaskitchen.com/milk-braid-rolls-recipe,good,242,4.7933884297521,"Milk braid rolls are soft, chewy and light. These serve as a perfect bread for your sandwich. Using the quality ingredients makes them better than store bought. The amount of milk and butter used in them might sound a lot but trust me this is what makes them stand out to regular breads and the braids look so attractive that kids just hog on to them without a second thought. You can pair them up with soup and salad for a light dinner, or can be served for snacks in evening with dips. Serve Milk Braid Rolls Recipe with   and   for a Friday night. If you like this recipe, try more recipes like",French,Snack,Eggetarian,120 M,20 M,Vivatta Maida|Milk|Whole Egg|Butter (unsalted)|Caster Sugar|Salt|Sugar|Vanilla Extract|Sesame seeds (Til seeds),"To begin making Milk Braid Rolls Recipe, add all the ingredients to the bowl of stand mixer with dough hook attached.|Mix all the ingredients on low speed for 2 minutes. Later increase the speed and continue mixing for another ten minutes.|In case you do not have a stand mixer, take all the ingredients into a bowl and knead them to a dough. The dough would be sticky.|Later invert the sticky dough on to flat surface and continue kneading for another 15 to 20 minutes until the dough turns out pliable. Do not add any dry flour while kneading once it is off the stand mixer.|This is time consuming and tricky, but helps in developing the gluten that makes the rolls softer and spongy.|Do the windowpane test and check for its elasticity and doneness. Windowpane test is done by pulling out a large lemon sized dough and stretching it between the fingers such that the dough is thin, pliable and ready for proofing without getting teared.|Once the dough is ready, place the kneaded dough in a greased bowl, cover with cling film and set in a warm place until doubled. This might take a couple of hours or more, depending on the temperature of the area.|Later knock out the air from the dough knead it for a couple of seconds. Weigh your dough and divide into 24 equal portions.|Roll out each dough portion into logs of 8 to 10 inches long. Take three logs at a time and plait them to a braid, by interlocking one after the other log of dough.|Repeat the process till done and this recipe plaits 8 braids out of 24 dough portions. You need to divide the dough into logs i multiples of 3.|Place the braids over baking tray lined with parchment paper.|Brush them with milk or beaten egg, sprinkle with seeds of choice like sesame, poppy and flax seeds. Cover the tray and set it in a warm place until doubled in size.|Bake them in a preheated oven at 200 degree celcius for 15 minutes or till done.|Once golden baked, remove and brush the hot rolls with melted butter and cool them to room temperature on a wire rack.|Store the braid rolls in an airtight container or pack in a zip lock and cherish for upto 4 to 5 days. Serve Milk Braid Rolls Recipe with | and | for a Friday night.",Swapnasunil,After School Snack Recipes,Homemade Bread Recipes
